Benchmark,CacheLines,Associativity,BlockSize,adaptive_HitRate,adaptive_MissRate,mru_HitRate,mru_MissRate,lru_HitRate,lru_MissRate,fifo_HitRate,fifo_MissRate,random_HitRate,random_MissRate,lfu_HitRate,lfu_MissRate
out2,128,2,16,.921879,.078120,.920871,.079128,.921225,.078774,.920871,.079128,.921879,.078120,.930656,.069343
out2,128,2,32,.922843,.077156,.922655,.077344,.922843,.077156,.922655,.077344,.933348,.066651,.941711,.058288
out2,128,4,8,.918969,.081030,.917702,.082297,.918017,.081982,.917702,.082297,.918966,.081033,.932168,.067831
out2,128,4,16,.934674,.065325,.920871,.079128,.921228,.078771,.920871,.079128,.934674,.065325,.949527,.050472
out2,128,4,32,.998363,.001636,.922655,.077344,.998363,.001636,.922655,.077344,.997611,.002388,.998360,.001639
out2,128,8,8,.932478,.067521,.917702,.082297,.918017,.081982,.917702,.082297,.932481,.067518,.951037,.048962
out2,128,8,16,.995327,.004672,.920871,.079128,.996795,.003204,.920871,.079128,.995327,.004672,.996795,.003204
out2,128,8,32,.998381,.001618,.922655,.077344,.998390,.001609,.922655,.077344,.998166,.001833,.998390,.001609
out3,16,2,8,.927729,.072270,.858351,.141648,.941399,.058600,.858351,.141648,.927209,.072790,.949155,.050844
out3,16,2,16,.951791,.048208,.840725,.159274,.947618,.052381,.840725,.159274,.937310,.062689,.951678,.048321
out3,16,2,32,.953248,.046751,.832102,.167897,.951705,.048294,.832102,.167897,.943440,.056559,.952527,.047472
out3,16,4,8,.944137,.055862,.858351,.141648,.955041,.044958,.858351,.141648,.944036,.055963,.957900,.042099
out3,16,4,16,.959351,.040648,.840725,.159274,.957692,.042307,.840725,.159274,.949910,.050089,.959355,.040644
out3,16,4,32,.960184,.039815,.832102,.167897,.959304,.040695,.832102,.167897,.953618,.046381,.960185,.039814
out3,16,8,8,.951229,.048770,.858351,.141648,.957993,.042006,.858351,.141648,.951186,.048813,.957994,.042005
out3,16,8,16,.959509,.040490,.840725,.159274,.959502,.040497,.840725,.159274,.954999,.045000,.959509,.040490
out3,16,8,32,.960486,.039513,.832102,.167897,.960486,.039513,.832102,.167897,.957504,.042495,.960486,.039513
out3,32,2,8,.940635,.059364,.874701,.125298,.949315,.050684,.874701,.125298,.940459,.059540,.952534,.047465
out3,32,2,16,.954079,.045920,.850626,.149373,.952840,.047159,.850626,.149373,.946709,.053290,.954679,.045320
out3,32,2,32,.960179,.039820,.949891,.050108,.959178,.040821,.949891,.050108,.954983,.045016,.960183,.039816
out3,32,4,8,.950670,.049329,.874701,.125298,.957507,.042492,.874701,.125298,.950567,.049432,.957997,.042002
out3,32,4,16,.959508,.040491,.850626,.149373,.959201,.040798,.850626,.149373,.954459,.045540,.959509,.040490
out3,32,4,32,.960495,.039504,.949891,.050108,.960453,.039546,.949891,.050108,.957828,.042171,.960496,.039503
out3,32,8,8,.954701,.045298,.874701,.125298,.958157,.041842,.874701,.125298,.954643,.045356,.958155,.041844
out3,32,8,16,.959808,.040191,.850626,.149373,.959819,.040180,.850626,.149373,.957514,.042485,.959809,.040190
out3,32,8,32,.961108,.038891,.949891,.050108,.961104,.038895,.949891,.050108,.959769,.040230,.961109,.038890
out3,128,2,8,.954908,.045091,.951527,.048472,.957772,.042227,.951527,.048472,.954860,.045139,.958158,.041841
out3,128,2,16,.959815,.040184,.955256,.044743,.959626,.040373,.955256,.044743,.957704,.042295,.959816,.040183
out3,128,2,32,.961109,.038890,.957710,.042289,.961022,.038977,.957710,.042289,.959756,.040243,.961109,.038890
out3,128,4,8,.956807,.043192,.951527,.048472,.958464,.041535,.951527,.048472,.956775,.043224,.958461,.041538
out3,128,4,16,.960428,.039571,.955256,.044743,.960430,.039569,.955256,.044743,.959383,.040616,.960429,.039570
out3,128,4,32,.962337,.037662,.957710,.042289,.962343,.037656,.957710,.042289,.961682,.038317,.962338,.037661
out3,128,8,8,.958249,.041750,.951527,.048472,.959075,.040924,.951527,.048472,.958247,.041752,.959075,.040924
out3,128,8,16,.961662,.038337,.955256,.044743,.961661,.038338,.955256,.044743,.961175,.038824,.961665,.038334
out3,128,8,32,.964803,.035196,.957710,.042289,.964802,.035197,.957710,.042289,.964510,.035489,.964807,.035192
out4,16,2,8,.900038,.099961,.899784,.100215,.899851,.100148,.899784,.100215,.900013,.099986,.903436,.096563
out4,16,2,16,.897098,.102901,.887771,.112228,.900214,.099785,.887771,.112228,.897085,.102914,.905202,.094797
out4,16,2,32,.955932,.044067,.931801,.068198,.961488,.038511,.931801,.068198,.956031,.043968,.960735,.039264
out4,16,4,8,.904129,.095870,.899784,.100215,.899857,.100142,.899784,.100215,.904128,.095871,.910162,.089837
out4,16,4,16,.919588,.080411,.887771,.112228,.920755,.079244,.887771,.112228,.919703,.080296,.924315,.075684
out4,16,4,32,.964268,.035731,.931801,.068198,.963069,.036930,.931801,.068198,.964361,.035638,.966298,.033701
out4,16,8,8,.922189,.077810,.899784,.100215,.921525,.078474,.899784,.100215,.922306,.077693,.926423,.073576
out4,16,8,16,.930714,.069285,.887771,.112228,.925918,.074081,.887771,.112228,.930749,.069250,.935392,.064607
out4,16,8,32,.976546,.023453,.931801,.068198,.978800,.021199,.931801,.068198,.976594,.023405,.975876,.024123
out4,32,2,8,.903310,.096689,.899815,.100184,.899856,.100143,.899815,.100184,.903333,.096666,.906818,.093181
out4,32,2,16,.920228,.079771,.893993,.106006,.923124,.076875,.893993,.106006,.920325,.079674,.924197,.075802
out4,32,2,32,.963439,.036560,.952968,.047031,.963069,.036930,.952968,.047031,.963465,.036534,.963898,.036101
out4,32,4,8,.923120,.076879,.899815,.100184,.923330,.076669,.899815,.100184,.923172,.076827,.926201,.073798
out4,32,4,16,.930383,.069616,.893993,.106006,.925918,.074081,.893993,.106006,.930501,.069498,.932708,.067291
out4,32,4,32,.977539,.022460,.952968,.047031,.979924,.020075,.952968,.047031,.977414,.022585,.974342,.025657
out4,32,8,8,.931800,.068199,.899815,.100184,.925644,.074355,.899815,.100184,.931803,.068196,.935552,.064447
out4,32,8,16,.953826,.046173,.893993,.106006,.958503,.041496,.893993,.106006,.953714,.046285,.954284,.045715
out4,32,8,32,.987147,.012852,.952968,.047031,.987782,.012217,.952968,.047031,.987149,.012850,.988686,.011313
out4,128,2,8,.930648,.069351,.924678,.075321,.925644,.074355,.924678,.075321,.930690,.069309,.927637,.072362
out4,128,2,16,.959004,.040995,.922332,.077667,.961031,.038968,.922332,.077667,.959079,.040920,.947547,.052452
out4,128,2,32,.988382,.011617,.975743,.024256,.988119,.011880,.975743,.024256,.988331,.011668,.984590,.015409
out4,128,4,8,.956332,.043667,.924678,.075321,.960814,.039185,.924678,.075321,.956263,.043736,.948991,.051008
out4,128,4,16,.975323,.024676,.922332,.077667,.976073,.023926,.922332,.077667,.975299,.024700,.974469,.025530
out4,128,4,32,.999757,.000242,.975743,.024256,.999706,.000293,.975743,.024256,.999720,.000279,.999705,.000294
out4,128,8,8,.974548,.025451,.924678,.075321,.975771,.024228,.924678,.075321,.974543,.025456,.977734,.022265
out4,128,8,16,.999862,.000137,.922332,.077667,.999865,.000134,.922332,.077667,.999758,.000241,.999865,.000134
out4,128,8,32,.999931,.000068,.975743,.024256,.999932,.000067,.975743,.024256,.999916,.000083,.999932,.000067
out5,16,2,8,.929450,.070549,.910204,.089795,.937784,.062215,.910204,.089795,.929450,.070549,.937887,.062112
out5,16,2,16,.930377,.069622,.918634,.081365,.937894,.062105,.918634,.081365,.931699,.068300,.938076,.061923
out5,16,2,32,.928753,.071246,.914609,.085390,.937962,.062037,.914609,.085390,.931210,.068789,.938291,.061708
out5,16,4,8,.934577,.065422,.910204,.089795,.937785,.062214,.910204,.089795,.934578,.065421,.938154,.061845
out5,16,4,16,.934612,.065387,.918634,.081365,.937894,.062105,.918634,.081365,.935452,.064547,.938496,.061503
out5,16,4,32,.934541,.065458,.914609,.085390,.937979,.062020,.914609,.085390,.936222,.063777,.939064,.060935
out5,16,8,8,.936442,.063557,.910204,.089795,.937785,.062214,.910204,.089795,.936439,.063560,.938688,.061311
out5,16,8,16,.936972,.063027,.918634,.081365,.937894,.062105,.918634,.081365,.937647,.062352,.939333,.060666
out5,16,8,32,.937869,.062130,.914609,.085390,.942296,.057703,.914609,.085390,.940894,.059105,.940852,.059147
out5,32,2,8,.933623,.066376,.923994,.076005,.937785,.062214,.923994,.076005,.933624,.066375,.938022,.061977
out5,32,2,16,.934088,.065911,.928264,.071735,.937894,.062105,.928264,.071735,.934835,.065164,.938286,.061713
out5,32,2,32,.933795,.066204,.926290,.073709,.937979,.062020,.926290,.073709,.935225,.064774,.938686,.061313
out5,32,4,8,.936249,.063750,.923994,.076005,.937785,.062214,.923994,.076005,.936244,.063755,.938556,.061443
out5,32,4,16,.936852,.063147,.928264,.071735,.937894,.062105,.928264,.071735,.937470,.062529,.939124,.060875
out5,32,4,32,.937966,.062033,.926290,.073709,.942602,.057397,.926290,.073709,.940969,.059030,.940772,.059227
out5,32,8,8,.937957,.062042,.923994,.076005,.937786,.062213,.923994,.076005,.937961,.062038,.939626,.060373
out5,32,8,16,.939747,.060252,.928264,.071735,.942484,.057515,.928264,.071735,.941345,.058654,.941083,.058916
out5,32,8,32,.939681,.060318,.926290,.073709,.942976,.057023,.926290,.073709,.942493,.057506,.942462,.057537
out5,128,2,8,.937414,.062585,.934338,.065661,.937786,.062213,.934338,.065661,.937414,.062585,.938831,.061168
out5,128,2,16,.939881,.060118,.935487,.064512,.942713,.057286,.935487,.064512,.941687,.058312,.940858,.059141
out5,128,2,32,.942397,.057602,.939913,.060086,.942976,.057023,.939913,.060086,.942272,.057727,.943507,.056492
out5,128,4,8,.941654,.058345,.934338,.065661,.942528,.057471,.934338,.065661,.941655,.058344,.941812,.058187
out5,128,4,16,.940915,.059084,.935487,.064512,.942790,.057209,.935487,.064512,.942577,.057422,.942318,.057681
out5,128,4,32,.944893,.055106,.939913,.060086,.943112,.056887,.939913,.060086,.944898,.055101,.945896,.054103
out5,128,8,8,.942592,.057407,.934338,.065661,.942681,.057318,.934338,.065661,.942592,.057407,.943697,.056302
out5,128,8,16,.942979,.057020,.935487,.064512,.942792,.057207,.935487,.064512,.944906,.055093,.944884,.055115
out5,128,8,32,.952812,.047187,.939913,.060086,.956233,.043766,.939913,.060086,.951597,.048402,.954327,.045672
